what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1404013362008
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1404013367459
error,log,,,"StructuredTextViewer.exception.verifyText",1404013368601
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404013369947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404013371329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404013452736
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1404013458928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1404013464964
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1404013470682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1404013476299
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404013485687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404013487759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404013496184
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1404013498058
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404013502185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404013503631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404013512958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404013513506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404013515321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404013602574
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1404013604224
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1404013606157
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404013606417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404013608626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404013745138
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404013754206
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1404013756061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404013764619
opened,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1404013774202
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1404013774275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404013774335
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1404013777871
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404013780519
opened,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1404013787047
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1404013787106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404013787166
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1404013788772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404013791758
opened,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1404013803944
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1404013804018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404013804072
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1404013808710
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1404013809435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404013811983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404013830574
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1404013837370
closed,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1404013837370
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1404013838186
closed,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1404013838186
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1404013838940
closed,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1404013838940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404013846469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404013848920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404014285250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404014286584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404014422363
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404014422851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404015018684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404015023746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404015025597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404015291443
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1404015292798
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1404015293841
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404015299845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404015305496
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1404015309075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404015310466
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1404015310642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404015310746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404015310783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404015312071
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1404015314627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404015315901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404015355543
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1404015360537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1404015363593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404015366941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404015368634
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1404015369311
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404015372783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404015374796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404015376041
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404015376785
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1404015377543
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404015379582
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1404015380027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404015381952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404015383244
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1404015384939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404015388756
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404015391127
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1404015391756
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404015393541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404015394533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404015395612
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1404015397392
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1404015406334
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1404015407679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404015407926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1404015408794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404015409717
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1404015409744
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1404015409744
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1404015410708
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1404015411346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404015411760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404015413685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404018512427
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1404018513859
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1404018515301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404018517664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404018522215
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1404018522236
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1404018522236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404018525246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404018527932
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1404018527947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1404018527947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404018529937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1404018531119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404018532064
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1404018532102
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1404018532102
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1404018533053
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1404018535058
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404018535524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404018547134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404018548533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404020563711
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404020582390
