what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404033900565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404033903428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404033909224
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1404033913645
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1404033917620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1404033918166
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1404033918642
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1404033919190
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1404033919622
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1404033925065
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1404033927187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404033930166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404033931843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404033937867
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1404033940561
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404033940815
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404033941613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404033960118
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1404033964648
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1404033967572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404033971478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404033973081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404034030753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404034034660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404034068091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404034069531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404035900085
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404035901705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404035911587
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1404035913440
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404035930874
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404035950777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1404035954646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404035962527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404035986217
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1404036001107
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1404036001277
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1404036001957
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1404036002517
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404036002867
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1404036004287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1404036008537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404036011667
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1404036016337
