what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474118499399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474118499779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474118504787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1474118510300
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474118511434
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474118513898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474118514305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474118529995
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474118542198
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474118545789
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474118552394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474118552732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474118555368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474118559288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474118559879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474118563584
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474118565954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474118566271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474118568797
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474118571548
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474118571890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474118575019
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474118577500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474118577792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474118595536
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1474118610828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474118618809
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474118621253
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1474118621893
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1474118622434
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1474118625615
