what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1474123126893
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1474123127145
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474123129419
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474123132795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474123133122
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474123147096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474123150561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474123151048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474123204048
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1474123206374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474123228667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474123256754
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1474123258915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474123263911
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474123477167
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1474123488714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1474123489660
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1474123492746
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1474123496007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474123503949
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474123506237
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1474123514525
