what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124781359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124784793
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1474124786700
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1474124787754
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1474124788850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474124789714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474124790900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124791260
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124794345
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1474124799807
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474124800205
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1474124805225
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1474124806604
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474124807021
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474124809352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124809630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124812842
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1474124813614
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474124813950
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474124818723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124818964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124821288
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1474124821929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474124822275
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474124834497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124834742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124836836
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1474124844514
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1474124848821
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474124851587
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474124856920
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.scroll.lineDown",1474124858041
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.scroll.lineDown",1474124858226
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.scroll.lineDown",1474124858383
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474124864440
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474124865792
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474124868051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124868317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124871249
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474124877073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124877453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124880013
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474124883290
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474124884958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474124888124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124888425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124895216
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.scroll.lineDown",1474124896414
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.scroll.lineDown",1474124896625
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.scroll.lineDown",1474124896756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124902195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124908033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124910951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124916303
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474124917558
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474124930221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124930635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124941245
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1474124943101
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1474124945933
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1474124946079
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1474124946277
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1474124946534
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1474124946970
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474124948537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124948857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124951609
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1474124953800
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1474124955657
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474124955897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124956242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124974447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474124982729
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474124985626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124986087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474124991080
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474124998816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474125000926
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1474125002614
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474125006976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474125007503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474125011443
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1474125014412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474125018248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474125019158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474125022014
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1474125023283
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474125023688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474125027894
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1474125029567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474125034796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474125035336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474125074900
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1474125079249
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474125086260
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474125088620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474125090848
