what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1474116738054
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474116738574
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474116740585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474116740890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474116744045
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1474116746345
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474116746900
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474116747961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474116748236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474116750859
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474116754444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474116754703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474116762296
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1474116764026
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474116769643
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1474116770987
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1474116771178
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1474116771349
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1474116771539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474116773368
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1474116774670
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1474116775411
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1474116775849
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1474116783661
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474116787427
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1474116796300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474116797377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1474116798145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474116798573
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1474116798595
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1474116801379
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1474116803458
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474116803883
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474116804708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474116846409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1474116852312
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1474116856229
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474116856917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474116857921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474116863022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1474116870054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474116871664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474116873737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474116879766
