what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1405185795217
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1405185812835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405185816612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405185824146
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1405185832488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405185833410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405185843703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1405185850075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405185851074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405185899495
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1405185900745
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1405185906892
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1405185909616
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1405185912376
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1405185921032
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1405185921250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1405185923844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405185924722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1405185924805
