what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404037426997
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1404037429877
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1404037431457
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404037431837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404037433087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404037440187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404037446307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404037447127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404037459837
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1404037463167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404037489657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404037604191
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1404037605381
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1404037606391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404037609061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404037615451
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1404037615471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1404037615471
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1404037617501
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404037622871
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1404037628671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1404037631291
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404037631691
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1404037632581
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1404037633691
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404037637091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404037638111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404037649221
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1404037657271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404037663041
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1404037665137
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1404037665829
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1404037675019
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1404037676179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1404037678739
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1404037680609
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1404037680909
